Teams,HomeTeams,Date,Location
Loyola Marymount LMU,Grand Canyon GCU,20201205,"GCU Arena, Phoenix, AZ"
Northern Arizona NAU,Eastern Washington EWU,20201205,"Reese Court, Cheney, WA"
UNLV UNLV,Utah Valley UVU,20201205,"UCCU Center, Orem, UT"
Cincinnati CIN,Florida FLA,20201205,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL"
Nicholls State NICH,South Alabama USA,20201205,"Mitchell Center, Mobile, AL"
McNeese State MCNS,Southern Miss USM,20201205,"Reed Green Coliseum, Hattiesburg, MS"
UC Riverside UCR,California Baptist CBU,20201205,"CBU Events Center, Riverside, CA"
South Carolina SC,Iowa State ISU,20201206,"James H. Hilton Coliseum, Ames, IA"
Washington WASH,Stanford STAN,20201206,"Maples Pavilion, Stanford, CA"
UConn CONN,Seton Hall HALL,20201206,"Walsh Gymnasium, South Orange, NJ"
Baylor BAY,Arkansas ARK,20201206,"Bud Walton Arena, Fayetteville, AR"
Bellarmine BELL,Louisville LOU,20201206,"KFC Yum! Center, Louisville, KY"
USC USC,Arizona ARIZ,20201206,"McKale Center, Tucson, AZ"
Coastal Carolina CCU,NC State NCST,20201206,"William Neal Reynolds Coliseum, Raleigh, NC"
UCLA UCLA,Arizona State ASU,20201206,"Desert Financial Arena, Tempe, AZ"
Utah UTAH,Oregon ORE,20201206,"Matthew Knight Arena, Eugene, OR"
Texas A&M TA&M,Texas TEX,20201206,"Frank Erwin Center, Austin, TX"
Colorado COLO,Oregon State ORST,20201206,"Gill Coliseum, Corvallis, OR"
Xavier XAV,DePaul DEP,20201206,"McGrath-Phillips Arena, Chicago, IL"
Fairfield FAIR,Hofstra HOF,20201206,"David S. Mack Sports and Exhibition Complex, Hempstead, NY"
Weber State WEB,Boise State BSU,20201206,"ExtraMile Arena, Boise, ID"
Tennessee TENN,West Virginia WVU,20201206,"WVU Coliseum, Morgantown, WV"
Northern Iowa UNI,Wichita State WICH,20201206,"Charles Koch Arena, Wichita, KS"
Nevada NEV,Air Force AFA,20201206,"Clune Arena, Colorado Springs, CO"
Richmond RICH,William & Mary W&M,20201206,"Kaplan Arena, Williamsburg, VA"
Villanova VILL,St. John's SJU,20201206,"Carnesecca Arena, Queens, NY"
Creighton CREI,Georgetown GTWN,20201206,"McDonough Arena, Washington, DC"
Gardner-Webb GWEB,Virginia Tech VT,20201206,"Cassell Coliseum, Blacksburg, VA"
North Dakota UND,Montana State MTST,20201206,"Worthington Arena, Bozeman, MT"
Austin Peay APSU,Florida State FSU,20201206,"Donald L. Tucker Center, Tallahassee, FL"
Alabama State ALST,Mercer MER,20201206,"Hawkins Arena, Macon, GA"
NJIT NJIT,New Hampshire UNH,20201206,"Lundholm Gymnasium, Durham, NH"
Liberty LIB,Memphis MEM,20201206,"Elma Roane Fieldhouse, Memphis, TN"
TCU TCU,Missouri MIZ,20201206,"Mizzou Arena, Columbia, MO"
UAB UAB,Chattanooga CHAT,20201206,"McKenzie Arena, Chattanooga, TN"
VCU VCU,Old Dominion ODU,20201206,"Chartway Arena, Norfolk, VA"
Oral Roberts ORU,Kansas KU,20201206,"Allen Fieldhouse, Lawrence, KS"
Oklahoma OU,Georgia UGA,20201206,"Stegeman Coliseum, Athens, GA"
Milwaukee MILW,Bowling Green BGSU,20201206,"Stroh Center, Bowling Green, OH"
Boston College BC,Northeastern NE,20201206,"Solomon Court at Cabot Center, Boston, MA"
Buffalo BUFF,Canisius CAN,20201206,"Koessler Athletic Center, Buffalo, NY"
Hartford HART,Rhode Island URI,20201206,"Ryan Center, Kingston, RI"
UT Arlington UTA,Kansas State KSU,20201206,"Bramlage Coliseum, Manhattan, KS"
Furman FUR,Georgia State GAST,20201206,"GSU Sports Arena, Atlanta, GA"
Green Bay GB,North Dakota State NDSU,20201206,"Scheels Center, Fargo, ND"
Florida National FNL,North Florida UNF,20201206,"UNF Arena, Jacksonville, FL"
Virginia UVA,George Washington GW,20201206,"Charles E. Smith Center, Washington, DC"
Charlotte CLT,North Carolina UNC,20201206,"Carmichael Arena, Chapel Hill, NC"
Central Michigan CMU,Dayton DAY,20201206,"UD Arena, Dayton, OH"
Lipscomb LIP,South Dakota SDAK,20201206,"Sanford Coyote Sports Center, Vermillion, SD"
Stetson STET,Miami MIA,20201206,"Watsco Center, Coral Gables, FL"
Valparaiso VAL,Purdue PUR,20201206,"Mackey Arena, West Lafayette, IN"
Wofford WOF,UNC Asheville UNCA,20201206,"Kimmel Arena, Asheville, NC"
Temple TEM,Florida Gulf Coast FGCU,20201206,"Alico Arena, Fort Myers, FL"
Georgia Southern GASO,Kennesaw State KENN,20201206,"KSU Convocation Center, Kennesaw, GA"
George Mason GMU,James Madison JMU,20201206,"Atlantic Union Bank Center, Harrisonburg, VA"
Charleston COFC,Clemson CLEM,20201206,"Littlejohn Coliseum, Clemson, SC"
Gonzaga GONZ,South Dakota State SDST,20201206,"Frost Arena, Brookings, SD"
Florida A&M FAMU,Troy TROY,20201206,"Trojan Arena, Troy, AL"
Louisiana College LA,UL Monroe ULM,20201206,"Fant-Ewing Coliseum, Monroe, LA"
Seattle U SEA,Portland PORT,20201206,"Chiles Center, Portland, OR"
Eastern Michigan EMU,Southeast Missouri State SEMO,20201206,"Show Me Center, Cape Girardeau, MO"
Radford RAD,Marshall MRSH,20201206,"Cam Henderson Center, Huntington, WV"
Delaware DEL,Pittsburgh PITT,20201206,"Petersen Events Center, Pittsburgh, PA"
Providence PROV,Butler BUT,20201206,"Hinkle Fieldhouse, Indianapolis, IN"
Florida Atlantic FAU,Florida FLA,20201207,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL"
SMU SMU,Oklahoma State OKST,20201207,"Gallagher-Iba Arena, Stillwater, OK"
UNC Wilmington UNCW,South Carolina State SCST,20201207,"S-H-M Memorial Center, Orangeburg, SC"
Sylvania Sylvania,Morehead State MORE,20201207,"Ellis T. Johnson Arena, Morehead, KY"
NC Wesleyan NCW,UNC Greensboro UNCG,20201207,"Michael B. Fleming Gymnasium, Greensboro, NC"
Evansville EVAN,Arkansas State ARST,20201207,"First National Bank Arena, Jonesboro, AR"
Lincoln MO LIMO,Missouri State MOST,20201207,"JQH Arena, Springfield, MO"
BYU BYU,Utah State USU,20201207,"Dee Glen Smith Spectrum, Logan, UT"
North Dakota UND,Montana MONT,20201207,"Dahlberg Arena, Missoula, MT"
UC Santa Barbara UCSB,UCLA UCLA,20201208,"Pauley Pavilion presented by Wescom, Los Angeles, CA"
Portland State PRST,Oregon ORE,20201208,"Matthew Knight Arena, Eugene, OR"
Mt. St. Mary's MSM,Maryland MD,20201208,"XFINITY Center, College Park, MD"
Gonzaga GONZ,Wyoming WYO,20201208,"Arena Auditorium, Laramie, WY"
Colorado COLO,Denver DEN,20201208,"Magness Arena, Denver, CO"
Coppin State COPP,St. Francis (PA) SFPA,20201208,"DeGol Arena, Loretto, PA"
San Diego USD,CSU Fullerton CSUF,20201208,"Titan Gym, Fullerton, CA"
Rhode Island URI,Rutgers RUTG,20201208,"Rutgers Athletic Center, Piscataway, NJ"
San Diego State SDSU,Colorado State CSU,20201208,"Moby Arena, Fort Collins, CO"
Fairleigh Dickinson FDU,Fordham FOR,20201208,"Rose Hill Gymnasium, Bronx, NY"
Valparaiso VAL,Miami (OH) M-OH,20201208,"Millett Hall, Oxford, OH"
UT Rio Grande Valley UTRGV,Texas A&M-CC AMCC,20201208,"American Bank Center, Corpus Christi, TX"
Belmont BEL,Auburn AUB,20201208,"Auburn Arena, Auburn, AL"
Alcorn State ALCN,Ole Miss MISS,20201208,"The Pavilion at Ole Miss, Oxford, MS"
SE Louisiana SELA,Stephen F. Austin SFA,20201208,"William R. Johnson Coliseum, Nacogdoches, TX"
East Tennessee State ETSU,Vanderbilt VAN,20201208,"Memorial Gymnasium , Nashville, TN"
CSU Bakersfield CSUB,Pepperdine PEPP,20201208,"Firestone Fieldhouse, Malibu, CA"
Nicholls State NICH,Southern Miss USM,20201208,"Reed Green Coliseum, Hattiesburg, MS"
Winthrop WIN,Charleston COFC,20201208,"TD Arena, Charleston, SC"
Jackson State JKST,Louisiana Tech LT,20201208,"Thomas Assembly Center, Ruston, LA"
William Carey WCC,South Alabama USA,20201208,"Mitchell Center, Mobile, AL"
Idaho State IDST,Kansas State KSU,20201208,"Bramlage Coliseum, Manhattan, KS"
William Jessup SJC,California Baptist CBU,20201208,"CBU Events Center, Riverside, CA"
UC Irvine UCI,San José State SJSU,20201208,"Provident Credit Union Event Center, San Jose, CA"
Mississippi Valley State MVSU,Murray State MURR,20201208,"CFSB Center, Murray, KY"
Springfield Springfield,Arkansas State ARST,20201208,"First National Bank Arena, Jonesboro, AR"
Wagner WAG,Sacred Heart SHU,20201208,"William H. Pitt Center, Fairfield, CT"
Long Island University LIU,Merrimack MRMK,20201208,"Hammel Court, North Andover, MA"
St. Francis (BKN) SFBK,Bryant BRY,20201208,"Chace Athletic Center, Smithfield, RI"
Houston HOU,UT Arlington UTA,20201208,"College Park Center, Arlington, TX"
UT Martin UTM,Samford SAM,20201208,"Pete Hanna Center, Birmingham, AL"
UC Davis UCD,Sacramento State SAC,20201208,"The Nest, Sacramento, CA"
Elon ELON,NC State NCST,20201209,"William Neal Reynolds Coliseum, Raleigh, NC"
Marshall MRSH,Kentucky UK,20201209,"Memorial Coliseum , Lexington, KY"
Arkansas ARK,SMU SMU,20201209,"Moody Coliseum, Dallas, TX"
Sam Houston State SHSU,Alabama ALA,20201209,"Coleman Coliseum, Tuscaloosa, AL"
Charleston Southern CHSO,Davidson DAV,20201209,"John M. Belk Arena, Davidson, NC"
St. Francis (BKN) SFBK,Bryant BRY,20201209,"Chace Athletic Center, Smithfield, RI"
Long Island University LIU,Merrimack MRMK,20201209,"Hammel Court, North Andover, MA"
Wagner WAG,Sacred Heart SHU,20201209,"William H. Pitt Center, Fairfield, CT"
Boston College BC,Georgia Tech GT,20201209,"McCamish Pavilion, Atlanta, GA"
William & Mary W&M,Radford RAD,20201209,"Donald N. Dedmon Center, Radford, VA"
Jacksonville State JVST,Georgia UGA,20201209,"Stegeman Coliseum, Athens, GA"
SAINT KATHERINE COLLEGE STKAT,Dixie State DXST,20201209,"Burns Arena, St. George, UT"
Hofstra HOF,Albany ALB,20201209,"SEFCU Arena, Albany, NY"
Idaho IDHO,Texas TEX,20201209,"Frank Erwin Center, Austin, TX"
Lamar LAM,TCU TCU,20201209,"Ed and Rae Schollmaier Arena, Fort Worth, TX"
Chattanooga CHAT,Troy TROY,20201209,"Trojan Arena, Troy, AL"
Grambling GRAM,UL Monroe ULM,20201209,"Fant-Ewing Coliseum, Monroe, LA"
St. Louis St. Louis,SIU Edwardsville SIUE,20201209,"First Community Arena at the Vadalabene Center, Edwardsville, IL"
William Jessup SJC,Southern Utah SUU,20201209,"America First Events Center, Cedar City, UT"
VCU VCU,East Carolina ECU,20201209,"Williams Arena at Minges Coliseum, Greenville, NC"
La Salle LAS,Villanova VILL,20201209,"Finneran Pavilion, Villanova, PA"
Florida FLA,UNC Asheville UNCA,20201209,"Kimmel Arena, Asheville, NC"
George Washington GW,James Madison JMU,20201209,"Atlantic Union Bank Center, Harrisonburg, VA"
Buffalo BUFF,Purdue PUR,20201209,"Mackey Arena, West Lafayette, IN"
McNeese State MCNS,Louisiana UL,20201209,"Cajundome, Lafayette, LA"
Hampton HAMP,Liberty LIB,20201209,"Vines Convocation Center, Lynchburg, VA"
Le Tourneau LET,Northwestern State NWST,20201209,"Prather Coliseum, Natchitoches, LA"
Tulane TULN,Middle Tennessee MTSU,20201209,"Murphy Athletic Center, Murfreesboro, TN"
Texas State TXST,Incarnate Word UIW,20201209,"Alice P. McDermott Convocation Center, San Antonio, TX"
Northern Arizona NAU,Grand Canyon GCU,20201209,"GCU Arena, Phoenix, AZ"
Baylor BAY,West Virginia WVU,20201210,"WVU Coliseum, Morgantown, WV"
Louisville LOU,Duke DUKE,20201210,"Cameron Indoor Stadium, Durham, NC"
Arizona State ASU,Arizona ARIZ,20201210,"McKale Center, Tucson, AZ"
Bellarmine BELL,Ohio State OSU,20201210,"Value City Arena, Columbus, OH"
Syracuse SYR,Miami MIA,20201210,"Watsco Center, Coral Gables, FL"
Dayton DAY,Charlotte CLT,20201210,"Dale F. Halton Arena, Charlotte, NC"
San Diego State SDSU,Colorado State CSU,20201210,"Moby Arena, Fort Collins, CO"
South Dakota SDAK,Wichita State WICH,20201210,"Charles Koch Arena, Wichita, KS"
Pittsburgh PITT,Virginia Tech VT,20201210,"Cassell Coliseum, Blacksburg, VA"
Clemson CLEM,Virginia UVA,20201210,"John Paul Jones Arena, Charlottesville, VA"
Arkansas State ARST,Arkansas-Pine Bluff ARPB,20201210,"H. O. Clemmons Arena, Pine Bluff, AR"
Eastern Washington EWU,Boise State BSU,20201210,"ExtraMile Arena, Boise, ID"
Mercer MER,Presbyterian PRES,20201210,"Ross E. Templeton P.E. Center, Clinton, SC"
Montana State MTST,BYU BYU,20201210,"Marriott Center, Provo, UT"
Tennessee State TNST,Belmont BEL,20201210,"Curb Event Center Arena, Nashville, TN"
Oklahoma OU,Kansas KU,20201210,"Allen Fieldhouse, Lawrence, KS"
North Carolina UNC,Wake Forest WAKE,20201210,"Lawrence Joel Coliseum, Winston-Salem, NC"
Missouri MIZ,Texas Tech TTU,20201210,"United Supermarkets Arena, Lubbock, TX"
Maine ME,Providence PROV,20201210,"Alumni Hall , Providence, RI"
UMBC UMBC,Howard HOW,20201210,"Burr Gymnasium, Washington, DC"
Mary Hardn Bylr MHB,Abilene Christian ACU,20201210,"Moody Coliseum , Abilene, TX"
Xavier XAV,Cincinnati CIN,20201210,"Fifth Third Arena, Cincinnati, OH"
Stetson STET,Furman FUR,20201210,"Timmons Arena, Greenville, SC"
Texas A&M TA&M,Little Rock UALR,20201210,"Jack Stephens Center, Little Rock, AR"
South Dakota State SDST,Kansas State KSU,20201210,"Bramlage Coliseum, Manhattan, KS"
Tarleton TAR,Oral Roberts ORU,20201210,"Mabee Center, Tulsa, OK"
North Dakota UND,Old Dominion ODU,20201211,"Chartway Arena, Norfolk, VA"
Washington State WSU,Washington WASH,20201211,"Alaska Airlines Arena, Seattle, WA"
UNC Greensboro UNCG,UNC Wilmington UNCW,20201211,"Trask Coliseum, Wilmington, NC"
NJIT NJIT,Fairleigh Dickinson FDU,20201211,"Stratis Arena at the Rothman Center, Teaneck, NJ"
Saint Peter's SPU,Niagara NIAG,20201211,"Gallagher Center, Niagara Falls, NY"
Manhattan MAN,Rider RID,20201211,"Alumni Gymnasium , Lawrenceville, NJ"
Iona IONA,Monmouth MONM,20201211,"OceanFirst Bank Center, West Long Branch, NJ"
Fairfield FAIR,Siena SIE,20201211,"Alumni Recreation Center, Loudonville, NY"
Canisius CAN,Marist MRST,20201211,"McCann Arena, Poughkeepsie, NY"
NC Wesleyan NCW,Charleston COFC,20201211,"TD Arena, Charleston, SC"
Eastern Michigan EMU,Bowling Green BGSU,20201211,"Stroh Center, Bowling Green, OH"
NC Pembroke NCPM,Coastal Carolina CCU,20201211,"The HTC Center, Conway, SC"
Davidson DAV,Appalachian State APP,20201211,"Holmes Convocation Center, Boone, NC"
Maine ME,Rhode Island URI,20201211,"Ryan Center, Kingston, RI"
UC Davis UCD,Stanford STAN,20201211,"Maples Pavilion, Stanford, CA"
Eastern Kentucky EKY,Morehead State MORE,20201211,"Ellis T. Johnson Arena, Morehead, KY"
Western Illinois WIU,Southeast Missouri State SEMO,20201211,"Show Me Center, Cape Girardeau, MO"
North Alabama UNA,Samford SAM,20201211,"Pete Hanna Center, Birmingham, AL"
Saint Mary's SMC,Fresno State FRES,20201211,"Save Mart Center, Fresno, CA"
Stephen F. Austin SFA,Houston HOU,20201211,"Fertitta Center, Houston, TX"
California Baptist CBU,UC Santa Barbara UCSB,20201211,"The Thunderdome, Santa Barbara, CA"
Mississippi State MSST,Southern Miss USM,20201212,"Reed Green Coliseum, Hattiesburg, MS"
North Dakota State NDSU,Iowa State ISU,20201212,"James H. Hilton Coliseum, Ames, IA"
Nevada NEV,Sacramento State SAC,20201212,"The Nest, Sacramento, CA"
Cincinnati CIN,Central Michigan CMU,20201212,"McGuirk Arena, Mount Pleasant, MI"
Wyoming WYO,UNLV UNLV,20201212,"Cox Pavilion, Las Vegas, NV"
Saint Peter's SPU,Niagara NIAG,20201212,"Gallagher Center, Niagara Falls, NY"
Manhattan MAN,Rider RID,20201212,"Alumni Gymnasium , Lawrenceville, NJ"
Iona IONA,Monmouth MONM,20201212,"OceanFirst Bank Center, West Long Branch, NJ"
Fairfield FAIR,Siena SIE,20201212,"Alumni Recreation Center, Loudonville, NY"
Canisius CAN,Marist MRST,20201212,"McCann Arena, Poughkeepsie, NY"
Boise State BSU,BYU BYU,20201212,"Marriott Center, Provo, UT"
Jackson State JKST,Nicholls State NICH,20201212,"David R. Stopher Gymnasium, Thibodaux, LA"
Radford RAD,Georgia UGA,20201212,"Stegeman Coliseum, Athens, GA"
UNC Asheville UNCA,South Carolina State SCST,20201212,"S-H-M Memorial Center, Orangeburg, SC"
Mississippi Valley State MVSU,Ole Miss MISS,20201212,"The Pavilion at Ole Miss, Oxford, MS"
Milwaukee MILW,Green Bay GB,20201212,"Kress Events Center, Green Bay, WI"
Youngstown State YSU,Northern Kentucky NKU,20201212,"BB&T Arena, Highland Heights, KY"
Purdue Fort Wayne PFW,IUPUI IUPU,20201212,"IUPUI Gymnasium, Indianapolis, IN"
UIC UIC,Oakland OAK,20201212,"Athletics Center O'rena, Rochester, MI"
Robert Morris RMU,Cleveland State CLEV,20201212,"Wolstein Center, Cleveland, OH"
Park Park,Dixie State DXST,20201212,"Burns Arena, St. George, UT"
Presbyterian PRES,East Tennessee State ETSU,20201212,"Brooks Gym, Johnson City, TN"
New Mexico State NMSU,Pepperdine PEPP,20201212,"Firestone Fieldhouse, Malibu, CA"
Louisiana UL,SE Louisiana SELA,20201212,"University Center , Hammond, LA"
McMurry MMR,Houston Baptist HBU,20201212,"Sharp Gymnasium, Houston, TX"
Grand Canyon GCU,Southern Utah SUU,20201212,"America First Events Center, Cedar City, UT"
UL Monroe ULM,Northwestern State NWST,20201212,"Prather Coliseum, Natchitoches, LA"
McNeese State MCNS,Memphis MEM,20201212,"Elma Roane Fieldhouse, Memphis, TN"
UM Kansas City UMKC,SIU Edwardsville SIUE,20201212,"First Community Arena at the Vadalabene Center, Edwardsville, IL"
Wright State WRST,Detroit Mercy DET,20201212,"Calihan Hall, Detroit, MI"
Montana State MTST,Utah Valley UVU,20201212,"UCCU Center, Orem, UT"
Hot Springs Hot Springs,Tarleton TAR,20201212,"Wisdom Gym, Stephenville, TX"
La Salle LAS,Mt. St. Mary's MSM,20201212,"Knott Arena, Emmitsburg, MD"
Kansas State KSU,Omaha OMA,20201212,"Baxter Arena, Omaha, NE"
South Dakota State SDST,Northern Iowa UNI,20201212,"McLeod Center, Cedar Falls, IA"
Stanford STAN,California CAL,20201213,"Haas Pavilion, Berkeley, CA"
North Carolina UNC,Louisville LOU,20201213,"KFC Yum! Center, Louisville, KY"
NC State NCST,Boston College BC,20201213,"Silvio O. Conte Forum, Chestnut Hill, MA"
UCLA UCLA,USC USC,20201213,"Galen Center, Los Angeles, CA"
Oregon ORE,Oregon State ORST,20201213,"Gill Coliseum, Corvallis, OR"
Samford SAM,Kentucky UK,20201213,"Memorial Coliseum , Lexington, KY"
Central Arkansas CARK,Arkansas ARK,20201213,"Bud Walton Arena, Fayetteville, AR"
Montana MONT,Gonzaga GONZ,20201213,"McCarthey Athletic Center, Spokane, WA"
Georgia Tech GT,Notre Dame ND,20201213,"Purcell Pavilion, South Bend, IN"
Missouri State MOST,Missouri MIZ,20201213,"Mizzou Arena, Columbia, MO"
Life Life,Georgia State GAST,20201213,"GSU Sports Arena, Atlanta, GA"
Furman FUR,Elon ELON,20201213,"Schar Center, Elon, NC"
Drexel DREX,Villanova VILL,20201213,"Finneran Pavilion, Villanova, PA"
Marshall MRSH,St. Bonaventure SBU,20201213,"Reilly Center, Saint Bonaventure, NY"
Idaho IDHO,Washington State WSU,20201213,"Friel Court at Beasley Coliseum, Pullman, WA"
Stetson STET,South Florida USF,20201213,"Yuengling Center, Tampa, FL"
Clemson CLEM,Pittsburgh PITT,20201213,"Petersen Events Center, Pittsburgh, PA"
Duke DUKE,Miami MIA,20201213,"Watsco Center, Coral Gables, FL"
Virginia UVA,Florida State FSU,20201213,"Donald L. Tucker Center, Tallahassee, FL"
Navy NAVY,William & Mary W&M,20201213,"Kaplan Arena, Williamsburg, VA"
Alabama ALA,Mercer MER,20201213,"Hawkins Arena, Macon, GA"
Norfolk State NORF,Wake Forest WAKE,20201213,"Lawrence Joel Coliseum, Winston-Salem, NC"
St. John's SJU,Massachusetts MASS,20201213,"William D. Mullins Memorial Center, Amherst, MA"
Hofstra HOF,Stony Brook STBK,20201213,"Island FCU Arena, Stony Brook, NY"
Florida Gulf Coast FGCU,UCF UCF,20201213,"Addition Financial Arena, Orlando, FL"
Concordia (TX) CCT,Texas A&M-CC AMCC,20201213,"American Bank Center, Corpus Christi, TX"
Jacksonville State JVST,Tennessee Tech TNTC,20201213,"Hooper Eblen Center, Cookeville, TN"
Illinois State ILST,Western Illinois WIU,20201213,"LeRoy A. Ufkes Court at Western Hall, Macomb, IL"
Marquette MARQ,Belmont BEL,20201213,"Curb Event Center Arena, Nashville, TN"
Milwaukee MILW,Green Bay GB,20201213,"Kress Events Center, Green Bay, WI"
Youngstown State YSU,Northern Kentucky NKU,20201213,"BB&T Arena, Highland Heights, KY"
Purdue Fort Wayne PFW,IUPUI IUPU,20201213,"IUPUI Gymnasium, Indianapolis, IN"
UIC UIC,Oakland OAK,20201213,"Athletics Center O'rena, Rochester, MI"
Robert Morris RMU,Cleveland State CLEV,20201213,"Wolstein Center, Cleveland, OH"
Northern Illinois NIU,Bradley BRAD,20201213,"Renaissance Coliseum, Peoria, IL"
James Madison JMU,West Virginia WVU,20201213,"WVU Coliseum, Morgantown, WV"
Southeast Missouri State SEMO,Southern Illinois SIU,20201213,"Banterra Center, Carbondale, IL"
Tennessee TENN,Texas TEX,20201213,"Frank Erwin Center, Austin, TX"
South Carolina Upstate SCUP,Old Dominion ODU,20201213,"Chartway Arena, Norfolk, VA"
Middle Tennessee MTSU,TCU TCU,20201213,"Ed and Rae Schollmaier Arena, Fort Worth, TX"
Vanderbilt VAN,Chattanooga CHAT,20201213,"McKenzie Arena, Chattanooga, TN"
Tulsa TLSA,Oklahoma State OKST,20201213,"Gallagher-Iba Arena, Stillwater, OK"
Kent State KENT,Toledo TOL,20201213,"Savage Arena, Toledo, OH"
Saint Louis SLU,UT Martin UTM,20201213,"Skyhawk Arena, Martin, TN"
Wofford WOF,Xavier XAV,20201213,"Cintas Center, Cincinnati, OH"
Edward Waters EAU,North Florida UNF,20201213,"UNF Arena, Jacksonville, FL"
Ball State BALL,Bellarmine BELL,20201213,"Knights Hall, Louisville, KY"
Georgetown GTWN,George Mason GMU,20201213,"EagleBank Arena, Fairfax, VA"
Alabama A&M AAMU,Dayton DAY,20201213,"UD Arena, Dayton, OH"
Wright State WRST,Detroit Mercy DET,20201213,"Calihan Hall, Detroit, MI"
Western Kentucky WKU,Little Rock UALR,20201213,"Jack Stephens Center, Little Rock, AR"
Carson Newman CN,Liberty LIB,20201213,"Vines Convocation Center, Lynchburg, VA"
Texas State TXST,Oklahoma OU,20201213,"Lloyd Noble Center, Norman, OK"
Western Carolina WCU,Charleston Southern CHSO,20201213,"Buccaneer Fieldhouse, Charleston, SC"
Incarnate Word UIW,UTSA UTSA,20201213,"UTSA Convocation Center, San Antonio, TX"
Grambling GRAM,UAB UAB,20201213,"Bartow Arena, Birmingham, AL"
South Alabama USA,Auburn AUB,20201213,"Auburn Arena, Auburn, AL"
Pacific PAC,San José State SJSU,20201213,"Provident Credit Union Event Center, San Jose, CA"
UTEP UTEP,Utah State USU,20201213,"Dee Glen Smith Spectrum, Logan, UT"
Portland PORT,Portland State PRST,20201213,"Viking Pavilion, Portland, OR"
Abilene Christian ACU,Texas A&M TA&M,20201213,"Reed Arena, College Station, TX"
Bowling Green BGSU,Purdue PUR,20201213,"Mackey Arena, West Lafayette, IN"
Texas Tech TTU,Baylor BAY,20201214,"Ferrell Center, Waco, TX"
Troy TROY,Mississippi State MSST,20201214,"Humphrey Coliseum, Starkville, MS"
Utah UTAH,Colorado COLO,20201214,"CU Events Center, Boulder, CO"
Wyoming WYO,UNLV UNLV,20201214,"Cox Pavilion, Las Vegas, NV"
Nebraska NEB,Creighton CREI,20201214,"D.J. Sokol Arena, Omaha, NE"
Arkansas-Pine Bluff ARPB,Louisiana Tech LT,20201214,"Thomas Assembly Center, Ruston, LA"
UT Rio Grande Valley UTRGV,Kansas KU,20201214,"Allen Fieldhouse, Lawrence, KS"
Texas Southern TXSO,LSU LSU,20201214,"Pete Maravich Assembly Center, Baton Rouge, LA"
Grand Canyon GCU,Eastern Washington EWU,20201214,"Reese Court, Cheney, WA"
Houston Houston,Prairie View A&M PV,20201214,"William Nicks Building, Prairie View, TX"
North Carolina A&T NCAT,UNC Greensboro UNCG,20201214,"Michael B. Fleming Gymnasium, Greensboro, NC"
Le Tourneau LET,Houston Baptist HBU,20201214,"Sharp Gymnasium, Houston, TX"
North Carolina Central NCCU,Appalachian State APP,20201214,"Holmes Convocation Center, Boone, NC"
Arlington Baptist AAY,Tarleton TAR,20201214,"Wisdom Gym, Stephenville, TX"
Central Connecticut State CCSU,St. Francis (BKN) SFBK,20201214,"Pope Physical Education Center, Brooklyn, NY"
Murray State MURR,North Alabama UNA,20201214,"Flowers Hall, Florence, AL"
UM Kansas City UMKC,Kansas State KSU,20201214,"Bramlage Coliseum, Manhattan, KS"
Rogers State University RSU,Oral Roberts ORU,20201214,"Mabee Center, Tulsa, OK"
Butler BUT,UConn CONN,20201215,"Gampel Pavilion, Storrs, CT"
Saint Mary's SMC,Ohio State OSU,20201215,"Value City Arena, Columbus, OH"
Davidson DAV,Charlotte CLT,20201215,"Dale F. Halton Arena, Charlotte, NC"
Central Connecticut State CCSU,St. Francis (BKN) SFBK,20201215,"Pope Physical Education Center, Brooklyn, NY"
Northwestern State NWST,UTSA UTSA,20201215,"UTSA Convocation Center, San Antonio, TX"
South Carolina State SCST,Mercer MER,20201215,"Hawkins Arena, Macon, GA"
Pacific PAC,Weber State WEB,20201215,"Dee Events Center, Ogden, UT"
Montana MONT,Seattle U SEA,20201215,"Redhawk Center, Seattle, WA"
Radford RAD,Longwood LONG,20201215,"Willett Hall, Farmville, VA"
Gardner-Webb GWEB,Presbyterian PRES,20201215,"Ross E. Templeton P.E. Center, Clinton, SC"
Jackson State JKST,Ole Miss MISS,20201215,"The Pavilion at Ole Miss, Oxford, MS"
Army ARMY,Albany ALB,20201215,"SEFCU Arena, Albany, NY"
California Baptist CBU,Pepperdine PEPP,20201215,"Firestone Fieldhouse, Malibu, CA"
Oklahoma State OKST,Oklahoma OU,20201215,"Lloyd Noble Center, Norman, OK"
Sam Houston State SHSU,Texas A&M TA&M,20201215,"Reed Arena, College Station, TX"
Florida Memorial FM,Stetson STET,20201215,"Edmunds Center, Deland, FL"
Utah Valley UVU,BYU BYU,20201215,"Marriott Center, Provo, UT"
Alabama A&M AAMU,Eastern Kentucky EKY,20201215,"McBrayer Arena, Richmond, KY"
Texas-Tyler TXTY,Abilene Christian ACU,20201215,"Moody Coliseum , Abilene, TX"
Mississippi Valley State MVSU,UL Monroe ULM,20201215,"Fant-Ewing Coliseum, Monroe, LA"
Mt. St. Mary's MSM,Wagner WAG,20201215,"Spiro Sports Center, Staten Island, NY"
St. Francis (PA) SFPA,Fairleigh Dickinson FDU,20201215,"Stratis Arena at the Rothman Center, Teaneck, NJ"
